MONAT,WOCHENTAG,PLZ,PRODUKT_GRUPPE,ANZAHL
01/01/2020,MI,9042,PRI,617
01/01/2020,MI,9042,ECO,398
01/01/2020,MI,9042,SEM,7
01/01/2020,MO,9042,PRI,342
01/01/2020,MO,9042,SEM,1
01/01/2020,MO,9042,ECO,285
01/01/2020,SA,9042,ECO,2
01/01/2020,SA,9042,PRI,157
01/01/2020,SA,9042,SEM,26
01/01/2020,DI,9043,ECO,181
01/01/2020,DI,9043,PRI,290
01/01/2020,DI,9043,SEM,5
01/01/2020,DO,9043,PRI,280
01/01/2020,DO,9043,ECO,223
01/01/2020,DO,9043,SEM,2
01/01/2020,FR,9043,ECO,230
01/01/2020,FR,9043,SEM,5
01/01/2020,FR,9043,PRI,298
01/01/2020,MI,9043,PRI,312
01/01/2020,MI,9043,ECO,191
01/01/2020,MI,9043,SEM,7
01/01/2020,MO,9043,ECO,189
01/01/2020,MO,9043,SEM,1
01/01/2020,MO,9043,PRI,195
01/01/2020,SA,9043,PRI,68
01/01/2020,SA,9043,SEM,6
01/01/2020,SA,9043,ECO,10
01/01/2020,DI,9044,PRI,137
01/01/2020,DI,9044,ECO,89
01/01/2020,DI,9044,SEM,1
01/01/2020,DO,9044,PRI,131
01/01/2020,DO,9044,ECO,119
01/01/2020,FR,9044,SEM,1
01/01/2020,FR,9044,PRI,111
01/01/2020,FR,9044,ECO,122
01/01/2020,MI,9044,SEM,1
01/01/2020,MI,9044,ECO,113
01/01/2020,MI,9044,PRI,130
01/01/2020,MO,9044,ECO,82
01/01/2020,MO,9044,PRI,89
01/01/2020,SA,9044,PRI,28
01/01/2020,SA,9044,ECO,4
01/01/2020,SA,9044,SEM,2
01/01/2020,DI,9050,ECO,883
01/01/2020,DI,9050,PRI,2277
01/01/2020,DI,9050,SEM,34
01/01/2020,DO,9050,ECO,1149
01/01/2020,DO,9050,PRI,1862
01/01/2020,DO,9050,SEM,22
01/01/2020,FR,9050,PRI,2141
01/01/2020,FR,9050,ECO,1156
01/01/2020,FR,9050,SEM,28
01/01/2020,MI,9050,SEM,35
01/01/2020,MI,9050,ECO,1013
01/01/2020,MI,9050,PRI,2097
01/01/2020,MO,9050,PRI,1150
01/01/2020,MO,9050,SEM,10
01/01/2020,MO,9050,ECO,769
01/01/2020,SA,9050,PRI,463
01/01/2020,SA,9050,ECO,4
01/01/2020,SA,9050,SEM,20
01/01/2020,SO,9050,PRI,1
01/01/2020,DI,9052,PRI,270
01/01/2020,DI,9052,ECO,136
01/01/2020,DI,9052,SEM,6
