BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
3295,Quarten,33.6,31.7,31.3,29.2,28.1,27.4,25.9,25.3,24.6,23.,22.6,22.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3296,Sargans,42.1,40.8,39.,37.1,35.5,34.6,32.9,31.8,30.4,28.7,26.7,25.,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3297,Vilters-Wangs,28.1,26.3,24.9,23.4,22.8,21.8,20.7,19.6,18.6,18.3,17.4,15.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3298,Walenstadt,35.3,33.5,32.2,31.1,29.6,28.6,28.1,27.3,26.9,26.,25.5,24.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3311,Amden,31.8,31.6,29.6,27.5,26.6,25.8,24.4,23.1,21.6,20.4,19.1,18.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3312,Benken (SG),28.4,26.4,24.6,23.8,23.2,22.3,21.1,19.6,18.6,18.6,16.9,16.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3313,Kaltbrunn,33.9,32.1,30.9,29.4,28.9,28.2,27.5,26.3,25.6,25.4,24.6,23.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3315,Schänis,34.7,32.8,31.5,29.9,28.8,27.5,26.4,24.8,23.3,22.5,21.3,19.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3316,Weesen,39.5,36.7,35.1,33.8,31.1,30.,28.9,28.6,27.1,26.,25.8,24.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3338,Schmerikon,38.9,36.7,35.3,34.8,33.9,32.3,31.2,29.5,28.,27.8,27.,25.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
